method,nominal_level,side,kind,conditioner,timing,stat,df,p_value,n,regressors,expected_violation_rate,detail,p_holm,n_tests_in_family,implementable
MC-Dropout-LSTM,0.95,both,DQ incremental,regime,t-1 (implementable),11.313676830467951,2.0,0.0034935445938960937,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=36.144 (df 7, p=6.81e-06) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",0.024454812157272656,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,transition,t-1 (implementable),0.43519493794971,1.0,0.509450818956671,780,transition_exante(t-1),0.050000000000000044,"DQ_full=25.265 (df 6, p=0.0003049) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,DQ incremental,width,t-1 (implementable),0.9365409154095623,1.0,0.33316902023808226,780,log_interval_width,0.050000000000000044,"DQ_full=25.767 (df 6, p=0.0002461) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.037089296171255,,0.04164109434808636,784,,0.050000000000000044,PICP 0.8971 (n=379) vs 0.9407 (n=405); z_iid=2.246 p_iid=0.02468,0.2082054717404318,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.625203125290838,,0.00865972889776109,784,,0.050000000000000044,PICP 0.9514 (n=329) vs 0.8967 (n=455); z_iid=-2.779 p_iid=0.005459,0.05195837338656654,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.5405499358830302,,0.5888178331736105,784,,0.050000000000000044,PICP 0.8947 (n=76) vs 0.9223 (n=708); z_iid=0.840 p_iid=0.4006,1.0,7,True
MC-Dropout-LSTM,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.4205550287877407,,0.6740800383759729,784,,0.050000000000000044,PICP 0.9038 (n=52) vs 0.9208 (n=732); z_iid=0.434 p_iid=0.6645,1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,regime,t-1 (implementable),23.51468272130453,2.0,7.831618528890724e-06,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=70.602 (df 7, p=1.117e-12) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",5.4821329702235066e-05,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,transition,t-1 (implementable),0.03692624601989536,1.0,0.8476152867477957,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.124 (df 6, p=1.768e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
MC-Dropout-LSTM,0.95,upper,DQ incremental,width,t-1 (implementable),2.6302081749460413,1.0,0.10484796566933065,780,log_interval_width,0.025000000000000022,"DQ_full=49.717 (df 6, p=5.357e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.4193918626773226,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.286486520799936,,0.022225811800581398,784,,0.025000000000000022,PICP 0.9235 (n=379) vs 0.9654 (n=405); z_iid=2.578 p_iid=0.009937,0.11112905900290698,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.5601589071139275,,0.0003706304453044639,784,,0.025000000000000022,PICP 0.9787 (n=329) vs 0.9209 (n=455); z_iid=-3.511 p_iid=0.0004471,0.0022237826718267835,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.8436579975658763,,0.3988605449670939,784,,0.025000000000000022,PICP 0.9079 (n=76) vs 0.9492 (n=708); z_iid=1.501 p_iid=0.1333,1.0,7,True
MC-Dropout-LSTM,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.09777232726719948,,0.9221130817187588,784,,0.025000000000000022,PICP 0.9423 (n=52) vs 0.9454 (n=732); z_iid=0.093 p_iid=0.9257,1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,regime,t-1 (implementable),5.807705976715969,2.0,0.05481162413020209,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=21.451 (df 7, p=0.003157) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",0.32886974478121256,7,True
LSTM-Gaussian,0.9,both,DQ incremental,transition,t-1 (implementable),0.2856201144938382,1.0,0.5930410329357094,780,transition_exante(t-1),0.09999999999999998,"DQ_full=15.929 (df 6, p=0.01414) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,DQ incremental,width,t-1 (implementable),0.4018960096047124,1.0,0.5261116995763844,780,log_interval_width,0.09999999999999998,"DQ_full=16.045 (df 6, p=0.01351) vs DQ_level+dynamics=15.643 (df 5, p=0.00794)",1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),1.6889557353363764,,0.09122791302301572,784,,0.09999999999999998,PICP 0.8417 (n=379) vs 0.8840 (n=405); z_iid=1.723 p_iid=0.08497,0.4561395651150786,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.998952223785242,,0.045613523405867926,784,,0.09999999999999998,PICP 0.8936 (n=329) vs 0.8418 (n=455); z_iid=-2.087 p_iid=0.03686,0.31929466384107547,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.46655494910197826,,0.6408183252730624,784,,0.09999999999999998,PICP 0.8421 (n=76) vs 0.8658 (n=708); z_iid=0.572 p_iid=0.5671,1.0,7,True
LSTM-Gaussian,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-0.5126898515618936,,0.6081682897391367,784,,0.09999999999999998,PICP 0.8846 (n=52) vs 0.8620 (n=732); z_iid=-0.459 p_iid=0.6465,1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,regime,t-1 (implementable),14.840597941161825,2.0,0.0005989700443205383,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=46.645 (df 7, p=6.545e-08) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.00359382026592323,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,transition,t-1 (implementable),0.07220070970246795,1.0,0.7881590915032121,780,transition_exante(t-1),0.04999999999999999,"DQ_full=31.877 (df 6, p=1.723e-05) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",1.0,7,True
LSTM-Gaussian,0.9,upper,DQ incremental,width,t-1 (implementable),5.622469350815727,1.0,0.01773164878978451,780,log_interval_width,0.04999999999999999,"DQ_full=37.427 (df 6, p=1.453e-06) vs DQ_level+dynamics=31.805 (df 5, p=6.494e-06)",0.07092659515913805,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),3.0114560645966355,,0.0025999802512538146,784,,0.04999999999999999,PICP 0.8918 (n=379) vs 0.9481 (n=405); z_iid=2.921 p_iid=0.003494,0.012999901256269073,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.4972928181019465,,0.0004700056298290087,784,,0.04999999999999999,PICP 0.9574 (n=329) vs 0.8945 (n=455); z_iid=-3.223 p_iid=0.001269,0.0032900394088030607,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.29420621369837535,,0.7686003328162454,784,,0.04999999999999999,PICP 0.9079 (n=76) vs 0.9223 (n=708); z_iid=0.443 p_iid=0.658,1.0,7,True
LSTM-Gaussian,0.9,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,-0.06449503491523435,,0.9485760604463709,784,,0.04999999999999999,PICP 0.9231 (n=52) vs 0.9208 (n=732); z_iid=-0.060 p_iid=0.9524,1.0,7,True
LSTM-Gaussian,0.95,both,DQ incremental,regime,t-1 (implementable),11.313676830467951,2.0,0.0034935445938960937,780,"regime_transitional(t-1), regime_crisis(t-1)",0.050000000000000044,"DQ_full=36.144 (df 7, p=6.81e-06) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",0.024454812157272656,7,True
LSTM-Gaussian,0.95,both,DQ incremental,transition,t-1 (implementable),0.43519493794971,1.0,0.509450818956671,780,transition_exante(t-1),0.050000000000000044,"DQ_full=25.265 (df 6, p=0.0003049) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
LSTM-Gaussian,0.95,both,DQ incremental,width,t-1 (implementable),0.9366750591237896,1.0,0.3331344008310735,780,log_interval_width,0.050000000000000044,"DQ_full=25.767 (df 6, p=0.000246) vs DQ_level+dynamics=24.830 (df 5, p=0.0001503)",1.0,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.037089296171255,,0.04164109434808636,784,,0.050000000000000044,PICP 0.8971 (n=379) vs 0.9407 (n=405); z_iid=2.246 p_iid=0.02468,0.2082054717404318,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-2.625203125290838,,0.00865972889776109,784,,0.050000000000000044,PICP 0.9514 (n=329) vs 0.8967 (n=455); z_iid=-2.779 p_iid=0.005459,0.05195837338656654,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.5405499358830302,,0.5888178331736105,784,,0.050000000000000044,PICP 0.8947 (n=76) vs 0.9223 (n=708); z_iid=0.840 p_iid=0.4006,1.0,7,True
LSTM-Gaussian,0.95,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.4205550287877407,,0.6740800383759729,784,,0.050000000000000044,PICP 0.9038 (n=52) vs 0.9208 (n=732); z_iid=0.434 p_iid=0.6645,1.0,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,regime,t-1 (implementable),23.51468272130453,2.0,7.831618528890724e-06,780,"regime_transitional(t-1), regime_crisis(t-1)",0.025000000000000022,"DQ_full=70.602 (df 7, p=1.117e-12) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",5.4821329702235066e-05,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,transition,t-1 (implementable),0.03692624601989536,1.0,0.8476152867477957,780,transition_exante(t-1),0.025000000000000022,"DQ_full=47.124 (df 6, p=1.768e-08) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",1.0,7,True
LSTM-Gaussian,0.95,upper,DQ incremental,width,t-1 (implementable),2.646827795877563,1.0,0.10375675906756025,780,log_interval_width,0.025000000000000022,"DQ_full=49.734 (df 6, p=5.316e-09) vs DQ_level+dynamics=47.087 (df 5, p=5.454e-09)",0.415027036270241,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),2.286486520799936,,0.022225811800581398,784,,0.025000000000000022,PICP 0.9235 (n=379) vs 0.9654 (n=405); z_iid=2.578 p_iid=0.009937,0.11112905900290698,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-3.5601589071139275,,0.0003706304453044639,784,,0.025000000000000022,PICP 0.9787 (n=329) vs 0.9209 (n=455); z_iid=-3.511 p_iid=0.0004471,0.0022237826718267835,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.8436579975658763,,0.3988605449670939,784,,0.025000000000000022,PICP 0.9079 (n=76) vs 0.9492 (n=708); z_iid=1.501 p_iid=0.1333,1.0,7,True
LSTM-Gaussian,0.95,upper,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.09777232726719948,,0.9221130817187588,784,,0.025000000000000022,PICP 0.9423 (n=52) vs 0.9454 (n=732); z_iid=0.093 p_iid=0.9257,1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,regime,t-1 (implementable),3.0026892375517207,2.0,0.22283033676488243,780,"regime_transitional(t-1), regime_crisis(t-1)",0.09999999999999998,"DQ_full=61.164 (df 7, p=8.835e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,transition,t-1 (implementable),0.3201022229761179,1.0,0.5715462191701184,780,transition_exante(t-1),0.09999999999999998,"DQ_full=58.482 (df 6, p=9.152e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,DQ incremental,width,t-1 (implementable),0.1970937875410712,1.0,0.6570769545852693,780,log_interval_width,0.09999999999999998,"DQ_full=58.359 (df 6, p=9.693e-11) vs DQ_level+dynamics=58.161 (df 5, p=2.913e-11)",1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=calm,lagged t-1 (conditional / implementable),0.9520172222237873,,0.341088247657071,784,,0.09999999999999998,PICP 0.8074 (n=379) vs 0.8346 (n=405); z_iid=0.993 p_iid=0.3207,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=transitional,lagged t-1 (conditional / implementable),-1.2038980904860905,,0.228628969936576,784,,0.09999999999999998,PICP 0.8419 (n=329) vs 0.8066 (n=455); z_iid=-1.275 p_iid=0.2021,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime=crisis,lagged t-1 (conditional / implementable),0.3812781482129134,,0.7029968664466907,784,,0.09999999999999998,PICP 0.8026 (n=76) vs 0.8234 (n=708); z_iid=0.450 p_iid=0.6525,1.0,7,True
Quantile-LSTM,0.9,both,difference in coverage,regime transition (ex-ante),ex-ante 1{s_(t-1) != s_(t-2)} — known at t-1; implementable,0.27020895309435167,,0.7869995052329108,784,,0.09999999999999998,PICP 0.8077 (n=52) vs 0.8224 (n=732); z_iid=0.268 p_iid=0.789,1.0,7,True
Quantile-LSTM,0.9,upper,DQ incremental,regime,t-1 (implementable),14.213942475379412,2.0,0.0008193729235069485,780,"regime_transitional(t-1), regime_crisis(t-1)",0.04999999999999999,"DQ_full=94.184 (df 7, p=1.707e-17) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",0.0057356104645486395,7,True
Quantile-LSTM,0.9,upper,DQ incremental,transition,t-1 (implementable),0.20845166718231667,1.0,0.6479836873975419,780,transition_exante(t-1),0.04999999999999999,"DQ_full=80.178 (df 6, p=3.283e-15) vs DQ_level+dynamics=79.970 (df 5, p=8.515e-16)",1.0,7,True
